#  x1, kvot        y1              x2, brus 14     y2              x3, brus 9      y3              x4, ed          y4              x5, lp          y5              x6, spring 2.6  y6              x7, spring 6.0  y7
   1.8840762e-01   8.9594400e-01   1.7559280e-01   6.2717000e-01   1.8163019e-01   7.7154700e-01   1.6928818e-01   5.5960265e-01   1.8826319e-01   7.4611399e-01   1.7882590e-01   6.3650400e-01   1.8601800e-01   7.7699700e-01
   1.9832372e-01   8.8975000e-01   1.8483451e-01   6.1260300e-01   1.9118964e-01   7.6040900e-01   1.7814639e-01   5.4635762e-01   1.9806007e-01   7.4093264e-01   1.8823779e-01   6.1909000e-01   1.9580840e-01   7.6475700e-01
   2.0823981e-01   8.8342400e-01   1.9407623e-01   5.9837700e-01   2.0074909e-01   7.4943900e-01   1.8700461e-01   5.3642384e-01   2.0785695e-01   7.3056995e-01   1.9764967e-01   6.0200000e-01   2.0559880e-01   7.5267000e-01
   2.1815591e-01   8.7691200e-01   2.0331795e-01   5.8435800e-01   2.1030854e-01   7.3828700e-01   1.9586282e-01   5.2649007e-01   2.1765384e-01   7.2020725e-01   2.0706156e-01   5.8498700e-01   2.1538920e-01   7.4061900e-01
   2.2807201e-01   8.7054900e-01   2.1255966e-01   5.7052000e-01   2.1986799e-01   7.2725300e-01   2.0472103e-01   5.1324503e-01   2.2745072e-01   7.0984456e-01   2.1647344e-01   5.6806000e-01   2.2517961e-01   7.2850100e-01
   2.3798811e-01   8.6396000e-01   2.2180138e-01   5.5683500e-01   2.2942745e-01   7.1617500e-01   2.1357925e-01   5.0000000e-01   2.3724760e-01   7.0466321e-01   2.2588533e-01   5.5132900e-01   2.3497001e-01   7.1619400e-01
   2.4790421e-01   8.5721100e-01   2.3104310e-01   5.4325600e-01   2.3898690e-01   7.0539900e-01   2.2243746e-01   4.8344371e-01   2.4704448e-01   6.7875648e-01   2.3529721e-01   5.3503000e-01   2.4476041e-01   7.0390800e-01
   2.5782030e-01   8.5048600e-01   2.4028481e-01   5.2992900e-01   2.4854635e-01   6.9429100e-01   2.3129568e-01   4.7350993e-01   2.5684136e-01   6.7357513e-01   2.4470910e-01   5.1871400e-01   2.5455081e-01   6.9180400e-01
   2.6773640e-01   8.4370800e-01   2.4952653e-01   5.1674100e-01   2.5810580e-01   6.8341700e-01   2.4015389e-01   4.6688742e-01   2.6663824e-01   6.6839378e-01   2.5412098e-01   5.0252900e-01   2.6434121e-01   6.7965100e-01
   2.7765250e-01   8.3680200e-01   2.5876825e-01   5.0376700e-01   2.6766525e-01   6.7246100e-01   2.4901210e-01   4.5695364e-01   2.7643512e-01   6.4766839e-01   2.6353286e-01   4.8653000e-01   2.7413161e-01   6.6729800e-01
   2.8756860e-01   8.2989700e-01   2.6800996e-01   4.9077800e-01   2.7722470e-01   6.6143100e-01   2.5787032e-01   4.4039735e-01   2.8623201e-01   6.3212435e-01   2.7294475e-01   4.7076100e-01   2.8392202e-01   6.5482600e-01
